rekisterinumero;tarkoitus;hetu;lahto;paluu
XSE-778;Materiaalin hankinta;010170-123A;1.9.2026 9:30;1.9.2026 10:30
XSE-778;Työmaakäynti;020280-234B;1.9.2026 10:45;1.9.2026 11:30
XSE-778;Materiaalin hankinta;030390-345C;1.9.2026 12:30;1.9.2026 13:30
XSE-778;Materiaalin hankinta;020280-234B;2.9.2026 9:00;2.9.2026 10:45
XSE-778;Työmaakäynti;010170-123A;2.9.2026 14:00;2.9.2026 15:45
XSE-778;KOS-käynti;030390-345C;3.9.2026 8:00;4.9.2026 15:45
XSE-778;Työmaakäynti;020280-234B;5.9.2026 10:45;5.9.2026 11:30
XSE-778;KOS-käynti;030390-345C;5.9.2026 11:45;5.9.2026 14:30
XSE-778;Materiaalin hankinta;030390-345C;5.9.2026 14:45;5.9.2026 15:30
XSE-778;Materiaalin hankinta;020280-234B;6.9.2026 9:00;6.9.2026 11:50
